name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YBL100W-A	0.5000	0.2000	994.5883	0.0010	0.0000	0
YJL162C	0.6667	0.2500	164.4814	0.0010	0.0000	0
YNL229C	0.3333	0.0694	7316.9699	0.0010	0.0000	0
YBL101C	0.3810	0.0329	2547.7471	0.0010	0.0000	0
YBL102W	0.2222	0.0200	10084.1895	0.0010	0.0000	1
YFL058W	1.0000	0.2222	0.0000	0.0010	0.0000	0
YGR068C	0.5000	0.0873	332.0862	0.0010	0.0000	0
YLR026C	0.3091	0.0522	5967.7814	9.0000	10.0016	1
YBL103C	0.6667	0.1309	14.1154	3.0000	0.0745	0
YOL067C	0.6667	0.0747	635.2326	3.0000	0.3570	0
YBL105C	0.1034	0.0195	68366.4004	0.0010	0.0000	1
YBR045C	0.3333	0.0432	3869.9510	4.0000	0.2878	0
YDL006W	0.3583	0.0201	11785.7984	0.0010	0.0000	0
YDL055C	0.4000	0.0151	7053.2854	0.0010	0.0000	1
YDR017C	0.6667	0.0817	350.1614	0.0010	0.0000	0
YDR436W	1.0000	0.1034	0.0000	0.0010	0.0000	0
YER165W	0.1691	0.0313	28297.4405	28.0000	100.4059	1
YGR238C	0.7000	0.0653	300.2956	2.0000	0.0307	0
YHR206W	1.0000	0.1034	0.0000	0.0010	0.0000	0
YJR075W	0.1147	0.0136	123605.9058	7.0000	0.1668	0
YKL203C	0.2879	0.0382	17331.1875	7.0000	3.6280	1
YLR305C	0.3333	0.0517	2462.0912	0.0010	0.0000	1
YML016C	0.3333	0.0353	7180.1611	0.0010	0.0000	0
YMR307W	0.0976	0.0112	121871.0240	0.0010	0.0000	0
YOR008C	0.4444	0.0106	11559.3669	0.0010	0.0000	0
YOR231W	0.3214	0.0300	7584.9710	0.0010	0.0000	0
YPL084W	0.4286	0.0475	5489.4853	0.0010	0.0000	0
YPR159W	0.0672	0.0321	61285.7109	0.0010	0.0000	0
YHR023W	0.2909	0.0374	9307.9732	7.0000	1.8076	1
YHR161C	0.2857	0.0687	1381.0385	0.0010	0.0000	0
YIL033C	0.3571	0.0101	17162.1297	5.0000	0.0078	0
YOR197W	0.2500	0.0063	29588.3427	0.0010	0.0000	0
YOR326W	0.0891	0.0210	61513.6288	18.0000	6.2064	1
YBL107C	1.0000	0.6667	0.0000	0.0010	0.0000	0
YML116W	0.6667	0.0322	4383.0000	0.0010	0.0000	0
YBR003W	0.6667	0.0215	3917.9637	0.0010	0.0000	0
YBR004C	1.0000	0.3571	0.0000	0.0010	0.0000	1
YLR082C	0.3571	0.0162	8456.1611	0.0010	0.0000	0
YBR006W	0.6667	0.1667	164.1584	0.0010	0.0000	0
YKL023W	0.2222	0.0165	11465.7522	0.0010	0.0000	0
YBR009C	0.6000	0.1961	3003.3064	5.0000	332.9509	1
YBR010W	0.8333	0.3556	41.1357	5.0000	68.4822	0
YNL031C	0.8000	0.2879	60.1282	4.0000	21.1440	0
YNL030W	0.8000	0.3273	47.1613	4.0000	27.7010	0
YBR013C	1.0000	0.5000	0.0000	0.0010	0.0000	0
YGR292W	0.5000	0.3333	8765.0000	0.0010	0.0000	0
YBR015C	0.9333	0.0629	0.8344	0.0010	0.0000	0
YBR017C	0.2364	0.0161	6177.6538	0.0010	0.0000	0
YDR192C	0.2444	0.0157	11856.6072	6.0000	0.0378	0
YGL092W	0.1667	0.0260	16238.2128	13.0000	2.7003	1
YGL122C	0.2500	0.0518	4044.2818	0.0010	0.0000	1
